Distance,Weight,Priority,Vehicle_Type,Fuel_Type,Average_Speed,Traffic_Conditions,Route_Topography,Weather_Conditions,Load_Efficiency,Vehicle_Age,Maintenance_Records,Carbon_Emission_Standards,Transport_Mode_Mix,Shipping_Container_Type,Traffic_Regulations,Emission_Control_Technologies,Fuel_Price,Transport_Infrastructure,Historical_Route_Data,Carbon_Footprint
218.5430534813131,266.61963595475765,4,Plane,Gasoline,38.197153450956975,1.3497860071995418,2.190829603240217,1.6261168536629649,0.8366982464659276,1.3769235445489796,0,Non-compliant,0.5658179928594681,Refrigerated,0.6566219494731291,1,1.4346023687179918,3.2621275076962304,1.5247404156831945,70.14523919810951
477.8214378844623,587.7108526405223,3,Plane,Electric,75.95329270515873,2.509452707186603,2.773190883004797,2.466550800385826,0.8817097721379626,5.527614903688254,1,Compliant,0.31265631435521946,Standard,0.9188520512589097,1,1.4177361945115625,4.606342504839452,3.3698985902544596,-17.21816653384303
379.3972738151323,885.6512522887674,3,Plane,Diesel,27.118625944494816,2.6540661211598366,1.8218851047002198,3.476485600186785,0.9075591724482533,6.258023099485463,1,Compliant,0.17823309891158345,Standard,0.40059537410527235,1,1.7602056245291604,2.9818862522613334,3.6890100002968538,35.822659652631835
319.3963178886665,759.0023977686051,3,Plane,Electric,76.0249653800882,1.1592457577830153,2.2086088396429577,1.6375795390856087,0.814920810917952,9.281772874668466,1,Compliant,0.8591821994111084,Refrigerated,0.19234315647502143,1,1.1748369154662113,4.765702687271519,1.148924807009167,21.37496604460087
120.20838819909643,825.9050330753048,4,Plane,Gasoline,61.031987110120596,2.0959523978798873,2.2600373612376545,4.872088688182955,0.9607297206174186,1.4424267125928483,1,Non-compliant,0.4035227665072294,Standard,0.27072275819598335,1,1.3385859719415736,4.567472817525304,4.421390674734491,-9.543715117688944
120.1975341512912,692.9050300396456,2,Truck,Electric,51.89432916120387,4.822597869065957,1.8347658836009466,4.658997314910641,0.8704957453233777,6.161496264416944,1,Non-compliant,0.3985437143653825,Refrigerated,0.854000823496369,0,1.2241722767469017,3.3058394258369357,4.62506958915932,-82.94552914416411
76.13762547568976,723.0489080660673,4,Plane,Electric,21.95954364706975,4.814530431318758,1.288624087374963,1.6678007161378767,0.8318523341342655,8.682669356751614,1,Compliant,0.16988667480662,Standard,0.5716397232701479,1,1.359109942967597,4.7355737525994535,4.401809093449034,-66.29350443622404
439.7792655987208,864.2760864087874,2,Plane,Diesel,48.5357715093205,2.409308217010157,1.187118813824671,1.4846218450439417,0.720172190215611,3.177349553073129,1,Compliant,0.3830656760857787,Standard,0.4550110323069573,1,1.230374822366024,2.292354989178209,4.298525871956453,-67.13598324188975
320.50175528444396,324.70120797326734,4,Truck,Diesel,44.46488630016394,1.1724004357932962,1.0333431011992662,1.3416339312330612,0.8394068405335495,8.886631136715437,1,Non-compliant,0.8716168463288502,Standard,0.1496367215089267,0,1.5794056310866547,2.4625686508168454,3.979860793843573,24.102536415015503
368.63266000822045,540.4824672788264,4,Truck,Diesel,29.673128718507353,1.7163797573127262,2.7470685284904293,4.637774656146524,0.946220752244719,1.1713906834686263,0,Non-compliant,0.3631287104896359,Standard,0.44972730832378194,1,1.7981708026178453,1.1819118052241477,3.5337281251278405,33.47902867401526
